,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Equity,,,SL Harian,,,Win Rate,,,Profit Factor,,,Expectancy,,,Max DD,,,,,,,,
,,1.000.000,,,500.000,,,"40,6%",,,"2,67",,,79,,,"45,3%",,,,,,,,
,,IDENTIFIKASI SETUP,,,,,,RISK MANAGEMENT,,,,,,,HASIL,,,,STATISTIK AUTO,,,PSIKOLOGI & ANALISIS,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
No,Bln,Tanggal,"Pair
↓","Metode
↓","Arah
↓","TF
↓","Sesi
↓",Lot,Entry,SL,TP,"Risk
(Rp) auto","Reward
(Rp) auto","R:R
Target","W/L
↓","Hasil
(Rp)","R:R
Actual","Pip
+/-","Drawdown
%","Running
Equity","DD dari
Peak","Emosi
↓","Alasan Entry
(sesuai plan?)",Catatan / Pelajaran,"Screenshot
(link/nama file)"
1,Bulan 1,04/06/26,BTCUSD,Breakout Ranging,SELL,H1,,"0,01","65.578,84",66855.03,63110.14,,,,WIN,433,,,"0,0%",433,"0,0%",Tenang,mengikuitn trendnya,jangan ngelawan trend ,https://drive.google.com/file/d/15l33kwU_dCja887h3ves5xItcMti9rb3/view?usp=drive_link
2,Bulan 1,04/06/26,XAUUSD,Reversal Batas,SELL,H1,,"0,01","447.948,00","4.504,65","4.427,94",443.443,443.520,"1,0x",LOSS,162,"0,0x","-4434433,5","0,0%",595,"0,0%",Tenang,mengikuitn trendnya,tunggu momenya konfimasinya jika ngebreakout resistenya maka trendnya berubah,https://drive.google.com/file/d/1zzUDvkgGvZBbDGYUCxxwtCJTAIlol536/view?usp=drive_link
3,Bulan 1,05/06/26,XAUUSD,Breakout Ranging,SELL,H1,,"0,01","4.468.576,00","4.456.857,00","4.511.653,00",11.719,43.077,"3,7x",LOSS,,"0,0x","-117190,0","0,0%",595,"0,0%",Ragu,dikira sudah berubah trendnya,tetep tunggu konfirmasi yang jelas ,https://drive.google.com/file/d/1asdZqrsT9ke-vThPM4YbEtboRCv6Ot7Y/view?usp=drivesdk
4,Bulan 1,05/06/26,XAUUSD,Breakout Ranging,SELL,H1,,"0,01","4.463.983,00","4.471.798,00","4.430.258,00",7.815,33.725,"4,3x",WIN,,"0,0x","-337250,0","0,0%",595,"0,0%",Percaya Diri,masih mengikuti trend besar dan harga sudah ngbreakot support kecilnya,tunggu konfirmasi dulu ,https://drive.google.com/file/d/1o9xD16zwjK0GzF9yzVZTXawan_1Klx97/view?usp=drivesdk
5,Bulan 1,05/06/26,BTCUSD,Breakout Ranging,SELL,H1,,"0,01",62768.75,63583.52,61066.68,,,,LOSS,,,,"0,0%",595,"0,0%",Percaya Diri,mengikuti trend besar nya dan harga sudah ngbreakot support ,SL taro di atas resisten yang strong ,https://drive.google.com/file/d/1u0LVyv3smNclfyJP3KTSedX6oFVQ0WtT/view?usp=drivesdk
6,Bulan 1,05/06/26,BTCUSD,Breakout Ranging,SELL,H1,,"0,01",61671.32,62922.21,59876.92,,,,LOSS,,,,"0,0%",595,"0,0%",Tenang,mengikuti trend dan sudah ngbreakot resistennya,SL taro di atas strong yang kuat ,https://drive.google.com/file/d/16o3FovXei63EIW2-mG6pbtcYBd6uKB_4/view?usp=drivesdk
7,Bulan 1,05/06/26,XAUUSD,Reversal Batas,BUY,H1,,"0,01","4.455.109,00","4.427.468,00","4.502.856,00",27.641,47.747,"1,7x",LOSS,,"0,0x","276410,0","0,0%",595,"0,0%",Tenang,dikira bakal terjadi ranging,jangan pernah ngelawan trend ,https://drive.google.com/file/d/14jXlAD4R1onO2CAHIvYXRR-TLRnwqV6I/view?usp=drivesdk
8,Bulan 1,05/06/26,BTCUSD,Breakout Ranging,SELL,H1,,"0,01",62879.93,64364.03,61333.15,,,,WIN,,,,"0,0%",595,"0,0%",Percaya Diri,mengikuti trend ,jangan pernah merasa tau trend dan harus tau batasan ,https://drive.google.com/file/d/1kTgv6JwWu8m_kAnzBhHfueEdZpeTY-AW/view?usp=drivesdk
