trade_no,tanggal,equity,drawdown_pct,pair
0.0,Start,,0.0,—
1.0,2026-06-04 00:00:00,432.6,0,BTCUSD
2.0,2026-06-04 00:00:00,594.6,0,XAUUSD
3.0,2026-06-05 00:00:00,594.6,0,XAUUSD
4.0,2026-06-05 00:00:00,594.6,0,XAUUSD
5.0,2026-06-05 00:00:00,594.6,0,BTCUSD
6.0,2026-06-05 00:00:00,594.6,0,BTCUSD
7.0,2026-06-05 00:00:00,594.6,0,XAUUSD
8.0,2026-06-05 00:00:00,594.6,0,BTCUSD
9.0,2026-06-05 00:00:00,594.6,0,XAUUSD
10.0,2026-06-06 00:00:00,594.6,0,BTCUSD
11.0,2026-06-06 00:00:00,594.6,0,BTCUSD
12.0,2026-06-08 00:00:00,594.6,0,BTCUSD
13.0,2026-06-08 00:00:00,594.6,0,XAUUSD
14.0,2026-06-09 00:00:00,594.6,0,BTCUSD
15.0,2026-06-09 00:00:00,594.6,0,XAUUSD
16.0,2026-06-10 00:00:00,594.6,0,XAUUSD
17.0,2026-06-10 00:00:00,594.6,0,XAUUSD
18.0,2026-06-10 00:00:00,594.6,0,BTCUSD
19.0,2026-06-11 00:00:00,594.6,0,XAUUSD
20.0,2026-06-11 00:00:00,594.6,0,BTCUSD
21.0,2026-06-11 00:00:00,594.6,0,XAUUSD
22.0,2026-06-12 00:00:00,594.6,0,XAUUSD
23.0,2026-06-12 00:00:00,594.6,0,XAUUSD
24.0,2026-06-13 00:00:00,594.6,0,BTCUSD
25.0,2026-06-15 00:00:00,594.6,0,BTCUSD
26.0,2026-06-15 00:00:00,594.6,0,XAUUSD
27.0,2026-06-15 00:00:00,594.6,0,BTCUSD
28.0,2026-06-16 00:00:00,594.6,0,BTCUSD
29.0,2026-06-18 00:00:00,594.6,0,XAUUSD
30.0,2026-06-18 00:00:00,594.6,0,BTCUSD
31.0,2026-06-18 00:00:00,594.6,0,XAUUSD
32.0,2026-06-19 00:00:00,594.6,0,XAUUSD
33.0,2026-06-19 00:00:00,594.6,0,BTCUSD
34.0,2026-06-19 00:00:00,594.6,0,XAUUSD
35.0,2026-06-20 00:00:00,594.6,0,BTCUSD
36.0,2026-06-21 00:00:00,594.6,0,BTCUSD
37.0,22/06/26,594.6,0,BTCUSD
38.0,22/06/26,594.6,0,XAUUSD
39.0,22/06/26,594.6,0,BTCUSD
40.0,22/06/26,594.6,0,XAUUSD
41.0,2026-06-22 00:00:00,594.6,0,BTCUSD
42.0,2026-06-22 00:00:00,594.6,0,BTCUSD
43.0,2026-06-23 00:00:00,594.6,0,BTCUSD
44.0,2026-06-23 00:00:00,594.6,0,XAUUSD
45.0,23/06/26,594.6,0,XAUUSD
46.0,23/06/26,594.6,0,BTCUSD
47.0,24/06/26,594.6,0,XAUUSD
48.0,24/06/26,594.6,0,BTCUSD
49.0,2026-06-24 00:00:00,594.6,0,BTCUSD
50.0,2026-06-24 00:00:00,594.6,0,XAUUSD
51.0,2026-06-24 00:00:00,594.6,0,BTCUSD
52.0,2026-06-24 00:00:00,594.6,0,XAUUSD
53.0,24/06/26,594.6,0,XAUUSD
54.0,24/06/26,594.6,0,BTCUSD
55.0,2026-06-25 00:00:00,594.6,0,BTCUSD
56.0,2026-06-25 00:00:00,594.6,0,BTCUSD
57.0,2026-06-26 00:00:00,594.6,0,BTCUSD
58.0,2026-06-26 00:00:00,594.6,0,XAUUSD
59.0,2026-06-26 00:00:00,594.6,0,BTCUSD
60.0,2026-06-26 00:00:00,594.6,0,XAUUSD
61.0,26/06/26,594.6,0,XAUUSD
62.0,26/06/26,594.6,0,BTCUSD
63.0,29/06/26,594.6,0,XAUUSD
64.0,29/06/26,594.6,0,BTCUSD
