no,bulan,tanggal,pair,metode,arah,timeframe,sesi,lot,entry,sl,tp,risk_rp,reward_rp,rr_target,hasil_wl,hasil_rp,rr_actual,pip,drawdown_pct,running_equity,dd_dari_peak,emosi,alasan_entry,catatan,screenshot
1.0,Bulan 1,2026-06-04 00:00:00,BTCUSD,Breakout Ranging,SELL,H1,,0.01,65578.84,66855.03,63110.14,,,,WIN,432.6,,,0,432.6,0,Tenang,mengikuitn trendnya,jangan ngelawan trend ,https://drive.google.com/file/d/15l33kwU_dCja887h3ves5xItcMti9rb3/view?usp=drive_link
2.0,Bulan 1,2026-06-04 00:00:00,XAUUSD,Reversal Batas,SELL,H1,,0.01,447948.0,4504.65,4427.94,443443.35,443520.06,1.000172987,LOSS,162.0,0.0003653228761,-4434433.5,0,594.6,0,Tenang,mengikuitn trendnya,tunggu momenya konfimasinya jika ngebreakout resistenya maka trendnya berubah,https://drive.google.com/file/d/1zzUDvkgGvZBbDGYUCxxwtCJTAIlol536/view?usp=drive_link
3.0,Bulan 1,2026-06-05 00:00:00,XAUUSD,Breakout Ranging,SELL,H1,,0.01,4468576.0,4456857.0,4511653.0,11719,43077,3.675825582,LOSS,,0,-117190,0,594.6,0,Ragu,dikira sudah berubah trendnya,tetep tunggu konfirmasi yang jelas ,https://drive.google.com/file/d/1asdZqrsT9ke-vThPM4YbEtboRCv6Ot7Y/view?usp=drivesdk
4.0,Bulan 1,2026-06-05 00:00:00,XAUUSD,Breakout Ranging,SELL,H1,,0.01,4463983.0,4471798.0,4430258.0,7815,33725,4.315419066,WIN,,0,-337250,0,594.6,0,Percaya Diri,masih mengikuti trend besar dan harga sudah ngbreakot support kecilnya,tunggu konfirmasi dulu ,https://drive.google.com/file/d/1o9xD16zwjK0GzF9yzVZTXawan_1Klx97/view?usp=drivesdk
5.0,Bulan 1,2026-06-05 00:00:00,BTCUSD,Breakout Ranging,SELL,H1,,0.01,62768.75,63583.52,61066.68,,,,LOSS,,,,0,594.6,0,Percaya Diri,mengikuti trend besar nya dan harga sudah ngbreakot support ,SL taro di atas resisten yang strong ,https://drive.google.com/file/d/1u0LVyv3smNclfyJP3KTSedX6oFVQ0WtT/view?usp=drivesdk
6.0,Bulan 1,2026-06-05 00:00:00,BTCUSD,Breakout Ranging,SELL,H1,,0.01,61671.32,62922.21,59876.92,,,,LOSS,,,,0,594.6,0,Tenang,mengikuti trend dan sudah ngbreakot resistennya,SL taro di atas strong yang kuat ,https://drive.google.com/file/d/16o3FovXei63EIW2-mG6pbtcYBd6uKB_4/view?usp=drivesdk
7.0,Bulan 1,2026-06-05 00:00:00,XAUUSD,Reversal Batas,BUY,H1,,0.01,4455109.0,4427468.0,4502856.0,27641,47747,1.727397706,LOSS,,0,276410,0,594.6,0,Tenang,dikira bakal terjadi ranging,jangan pernah ngelawan trend ,https://drive.google.com/file/d/14jXlAD4R1onO2CAHIvYXRR-TLRnwqV6I/view?usp=drivesdk
8.0,Bulan 1,2026-06-05 00:00:00,BTCUSD,Breakout Ranging,SELL,H1,,0.01,62879.93,64364.03,61333.15,,,,WIN,,,,0,594.6,0,Percaya Diri,mengikuti trend ,jangan pernah merasa tau trend dan harus tau batasan ,https://drive.google.com/file/d/1kTgv6JwWu8m_kAnzBhHfueEdZpeTY-AW/view?usp=drivesdk
9.0,Bulan 1,2026-06-05 00:00:00,XAUUSD,Breakout Ranging,SELL,H1,,0.01,4423028.0,4448635.0,4371803.0,25607,51225,2.00042957,WIN,,0,-512250,0,594.6,0,Percaya Diri,mengikuti trend ,tunggu konfirmasi metodenya momentum terjadinya ,https://drive.google.com/file/d/1xNNhCJdE1Bs_hBVHOZhIwpv6lkHXx2QI/view?usp=drivesdk
10.0,Bulan 1,2026-06-06 00:00:00,BTCUSD,Breakout Ranging,SELL,H1,,0.01,61117.91,62896.52,59291.52,,,,WIN,,,,0,594.6,0,Percaya Diri,mengikuti trend ,harus mengikuti metodenya ,https://drive.google.com/file/d/1vitY2_Asn7K56UYR1TPdBMwZXw7zeDgy/view?usp=drivesdk
